string.email, ای میل 
node.overview.space_used, آپ ڈسک کی جگہ کی زیادہ سے زیادہ٪ s کو MB فیصد کی MB استعمال کر رہے ہیں. 
node.overview.information_h1, سرور کی معلومات 
node.overview.players_h5, کھلاڑیوں 
node.overview.cpu_h5, CPU استعمال 
node.overview.memory_h5, میموری استعمال 
node.overview.ajax.no_conn, قاصر نوڈ مربوط کرنے کے لئے. 
node.overview.ajax.no_exec, سرور پر کمانڈ پھانسی کرنے سے قاصر ہے. 
node.console.command_help, کنسول کمانڈ درج کریں 
node.console.scrollstop_alert, آپ کنسول میں متن کو منتخب کیا ہے. کنسول نہیں آٹو اپ ڈیٹ کو اس وقت ہوتی ہے جب ہو جائے گا. یہ آپ کو آسانی سے کاپی یا کنسول میں متن کو منتخب کرنے کے لئے اجازت دینے کے لئے کیا جاتا ہے. صرف متن کے غیر منتخب پھر خود کار طریقے سے تازہ کاری کے لئے اجازت دینے کے لئے. 
node.console.scrollstop_h1, Scrollstop اینڈ ٹریڈ؛ کنسول ونڈو 
node.console.ajax.server_started, سرور کامیابی سے شروع کیا گیا ہے. 
node.files.loading, ڈائریکٹری لوڈ ہو رہا ہے. براہ مہربانی انتظار کریں. 
node.files.name, فائل کا نام 
node.files.size, فائل کا سائز 
node.files.modified, میں آخری بار ترمیم 
node.files.edit.daemon_error, قاصر ڈیمان کے لئے مربوط کرنے کے لئے. 
node.files.edit.back, واپس مینیجر فائل 
node.files.edit.type_error, اس قسم کی فائل ہمارے کنٹرول پینل کے ذریعے ترمیم نہیں کیا جا سکتا. 
node.files.edit.no_file, کوئی فائل میں ترمیم کیا جا سکتا ہے کی وضاحت کی گئی تھی. 
node.files.edit.error, تم یہاں </a> پر کلک <a href="index.php"> فائل منیجر کو واپس کر سکتے ہیں. 
node.files.ajax.no_dir, درخواست ڈائریکٹری کو تلاش کرنے سے قاصر ہے. خرابی کرنا. 
node.files.ajax.no_dl, قاصر فائلوں کو حاصل کرنے کے لئے سرور سے رابطہ کرنے کے لئے. دوبارہ کوشش کریں. 
node.files.ajax.saved, فائل کامیابی بچ گیا. 
node.files.ajax.no_save, قاصر فائل کو بچانے کے لئے. 
node.files.ajax.no_edit, اس قسم کی فائل ہمارے آن لائن فائل مینیجر کے ذریعے ترمیم نہیں کیا جا سکتا. ایک FTP کلائنٹ کا استعمال کریں. 
node.files.ajax.file_404, مخصوص فائل سرور پر نہیں مل سکا. 
node.settings.modpack.modpack_h1, سرور Modpack مینجمنٹ 
node.settings.modpack.current, موجودہ Modpack 
node.settings.modpack.install, انسٹال Modpack 
node.settings.modpack.select, - ایک Modpack منتخب کریں 
node.settings.jar.jar_h1, سرور جار نام 
node.settings.jar.jarfile_name, Jarfile نام 
node.settings.jar.update, اپ ڈیٹ کریں 
node.settings.sftp.sftp_h1, SFTP ترتیبات 
node.settings.ajax.installing_modpack, Modpack نصب 
node.settings.ajax.modpack_error, آپ کو ایک modpack کے طور پر ایک غیر فعال فارم ان پٹ کا استعمال نہیں کر سکتے ہیں! 
node.plugins.welcome_h1, پلگ ان انسٹالر 
node.plugins.welcome, آپ کی تعمیر میں پلگ ان انسٹالر میں خوش آمدید. یہ انسٹالر Bukget سے نتائج اور اعداد و شمار جمع اور طریقے استعمال کرنے کا ایک آسان میں ان کو دکھاتا ہے. خود کار طریقے سے انسٹالر خاص طور پر پیچیدہ پلگ ان کے لئے, اوقات میں چھوٹی گاڑی جا سکتا ہے. ہم سب سے پہلے اگر ممکن ہو تو آپ کے کمپیوٹر پر ڈاؤن لوڈ پلگ ان کی سفارش. 
node.plugins.search_h1, پلگ ان مخزن تلاش 
node.plugins.plugin_name, پلگ ان کا نام 
node.plugins.installed, آپ کو پلگ ان کو کامیابی سے نصب کیا گیا ہے. 
آپ کے پلگ ان نصب ہے جبکہ node.plugins.installing, براہ مہربانی انتظار کریں. اس عمل کو مکمل کرنے کے لئے ایک منٹ کے بارے میں لے سکتا ہے. 
node.plugins.installing_warning, اس صفحے سے دور تشریف کریں! 
node.plugins.error.term, ایک درست اصطلاح درج کریں. 
node.plugins.view.author, یہ پلگ ان کو پیدا کیا اور٪ کی طرف سے برقرار رکھا ہے. 
node.plugins.view.view, Bukkit </a> پر اس پلگ ان <a href="http://dev.bukkit.org/bukkit-plugins/٪s/" target="_blank"> دیکھیں. 
node.ajax.generic_error, ایک خرابی یہ AJAX کی درخواست کے ساتھ کا سامنا کرنا پڑا تھا.
