string.email, ईमेल 
node.files.ajax.no_dir, अनुरोध निर्देशिका खोजने में असमर्थ. त्रुटि लॉग इन किया. 
node.files.ajax.no_dl, असमर्थ फ़ाइलों को प्राप्त करने के लिए सर्वर से कनेक्ट करने के लिए. पुन: प्रयास करें. 
node.files.ajax.saved, फ़ाइल सफलतापूर्वक बचा लिया गया था. 
node.files.ajax.no_save, असमर्थ फ़ाइल को बचाने के लिए. 
node.files.ajax.no_edit, इस प्रकार की फ़ाइल हमारे ऑनलाइन फाइल प्रबंधक के माध्यम से संपादित नहीं किया जा सकता है. एक एफ़टीपी ग्राहक का उपयोग करें. 
node.files.ajax.file_404, निर्दिष्ट फ़ाइल सर्वर पर नहीं पाया जा सका. 
node.settings.modpack.modpack_h1, सर्वर Modpack प्रबंधन 
node.settings.modpack.current, वर्तमान Modpack 
node.settings.modpack.install, स्थापित करें Modpack 
node.settings.modpack.select, - एक Modpack का चयन करें 
node.settings.jar.jar_h1, सर्वर .jar नाम 
node.settings.jar.jarfile_name, Jarfile नाम 
node.settings.jar.update, अद्यतन नाम 
node.settings.sftp.sftp_h1, SFTP सेटिंग 
node.settings.ajax.installing_modpack, Modpack का अधिष्ठापन 
node.settings.ajax.modpack_error, आप एक modpack के रूप में एक विकलांग फार्म इनपुट का उपयोग नहीं कर सकते हैं! 
node.plugins.welcome_h1, प्लगइन इंस्टालर 
node.plugins.welcome, अपने में निर्मित प्लगइन इंस्टॉलर में आपका स्वागत है. इस इंस्टॉलर Bukget से परिणाम और डेटा तुलना और तरीके से उपयोग करने के लिए एक आसान में उन्हें यहां प्रदर्शित करता है. स्वचालित इंस्टॉलर विशेष रूप से जटिल प्लगइन्स के लिए, कई बार छोटी गाड़ी हो सकता है. हम पहले यदि संभव हो तो अपने कंप्यूटर को डाउनलोड करने प्लगइन्स की सलाह देते हैं. 
node.plugins.search_h1, प्लगइन रिपोजिटरी खोजें 
node.plugins.plugin_name, प्लगइन नाम 
node.plugins.installed, अपने प्लगइन सफलतापूर्वक स्थापित कर दिया गया है. 
अपने प्लगइन स्थापित कर रहा है, जबकि node.plugins.installing, कृपया प्रतीक्षा करें. इस प्रक्रिया को पूरा करने के लिए एक मिनट के बारे में ले सकता है. 
node.plugins.installing_warning, इस पेज से दूर नेविगेट मत करो! 
node.plugins.error.term, एक वैध खोज शब्द दर्ज करें. 
node.plugins.view.author, इस प्लगइन बनाया और% द्वारा बनाए रखा है. 
node.plugins.view.view, Bukkit </a> पर इस प्लगइन <a href="http://dev.bukkit.org/bukkit-plugins/%s/" target="_blank"> देखें. 
node.ajax.generic_error, एक त्रुटि यह AJAX अनुरोध के साथ सामना करना पड़ा था.
