string.email, Email
node.files.edit.no_file, Brak pliku do edycji.
node.files.edit.error, Możesz wrócić do menadżera plików <a href="index.php">klikając tutaj</a>.
node.files.ajax.no_dir, Nie można odnaleść folderu.
node.files.ajax.no_dl, Nie można połączyć się do serwera aby sciągnąć plik
node.files.ajax.saved, Plik został zapisany.
node.files.ajax.no_save, Nie można było zapisać tego pliku.
node.files.ajax.no_edit, Tego pliku nie można edytować poprzez menadżer plików. Proszę użyć połączenia FTP.
node.files.ajax.file_404, Wybrany plik nie został znaleziony na serwerze.
node.settings.jar.jar_h1, Nazwa pliku JAR serwera
node.settings.jar.jarfile_name, Nazwa pliku JAR
node.settings.jar.update, Nazwa Aktualizacji
node.settings.ftp.ftp_h1, Ustawienia FTP
node.ajax.generic_error, Znaleziono problem z wykonaniem połączenia AJAX.
error.unhandled, Wystąpił nieznany błąd podczas wykonywania tego połączenia. Prosimy spróbować ponownie poźniej.
error.xsrf, Token XSRF jest niepoprawny. Prosimy o sprawdzenie czy ciasteczka są włączone.
error.invalid_password, Nie możemy zweryfikować twojego hasła. Prosimy spróbować ponownie.
error.invalid_email, Email który podałeś/aś jest nie prawidłowy.
error.password_mismatch, Hasła które podałeś nie są takie same.
error.password_strength, Twoje hasło nie jest wystarczająco mocne, prosimy użyć hasła które zawiera więcej niż 8 znaków oraz posiada cyfry i znaki specjalne.
error.account.same_email, Yyyyy... nie można zmienić emaila który jest taki sam.
success.account.email, Twój email został poprawnie zmieniony na <em>%s</em>.
success.account.password, Twoje hasło zostało poprawnie zmienione!
success.notifications.updated, Twoje ustawienia notyfikacji zostały poprawnie zmienione.
